Bytes,Time_sec,Bandwidth_MBs
1,3.614975000e-07,2.6381
2,1.603255000e-07,11.8967
4,3.285190000e-07,11.6118
8,1.967730000e-07,38.7726
16,5.633930000e-07,27.0837
32,5.544500000e-07,55.0412
64,4.599190000e-07,132.7085
128,4.728225000e-07,258.1737
256,5.617825000e-07,434.5821
512,8.075390000e-07,604.6535
1024,6.370120000e-07,1533.0363
2048,1.031573500e-06,1893.3455
4096,4.341980000e-06,899.6472
8192,3.196363000e-06,2444.1842
16384,8.419107000e-06,1855.8975
32768,7.060834500e-06,4425.8225
65536,1.606270100e-05,3891.0019
131072,3.160437850e-05,3955.1482
262144,5.900185800e-05,4237.1547
524288,1.246818000e-04,4010.2084
1048576,2.845393115e-04,3514.4529
2097152,6.389419370e-04,3130.1749
4194304,1.352784185e-03,2956.8648
